objectid,title,format,filename,site date,subject,location,functional category,,latitude,longitude
item1,Chamber Pot ,image/jpeg,alcock.jpg,1891-1900,ceramic ,operation area  3,household,,43.15238,-79.248569
item2,Ceramic Plate 1,image/jpeg,queensroyalhotel.jpg,1900-1918,ceramic ,opeartiona area 3,food and beverage,,43.15238,-79.248569
item3,Ceramic Plate 2,image/jpeg,tfurnival.jpg,1871-1876,ceramic ,opeartion area 3,food and beverage,,43.15238,-79.248569
item4,Ceramic Plate 3,image/jpeg,transferware.jpg,1832-1847,ceramic ,operation area 1,food and beverage,,43.151437,-79.247901
item5,Ceramic Plate 4,image/jpeg,pearlware.jpg,1860-1880,ceramic ,operation area 1,food and beverage,,43.151437,-79.247901
item6,Serving Plate 1,image/jpeg,oyster.jpg,1912-1918,ceramic ,operation area 1,food and beverage,,43.151437,-79.247901
item7,Face Cream,image/jpeg,ponds.jpg,1910-1940,ceramic ,operation area 1,health and beauty,,43.151437,-79.247901
item8,Perfume Bottle,image/jpeg,perfume.jpg,1890-1920,glass,operation area 3,health and beauty,,43.15238,-79.248569
item9,Medicinal Bottle ,image/jpeg,vicks.jpg,1910-1930,glass,operation area 3,health and beauty,,43.15238,-79.248569
item10,Serving Plate 2,image/jpeg,depression.jpg,1931-1937,glass,operation area 1,food and beverage,,43.151437,-79.247901
item11,Shickluna Shipyard,image/jpeg,shipyardlitho.jpg,1870-1880,lithograph,visual art,commercial advertisement,,43.152523,-79.248882
